group	label	threshold	true_positive	false_positive	false_negative	true_negative	sensitivity	specificity	ppv	npv	f1	kappa
s_aureus	S. aureus	0	53	21	0	0	1	0	0.7162162162162162	NA	0.8346456692913385	0
s_aureus	S. aureus	0.001	50	16	3	5	0.9433962264150944	0.23809523809523808	0.7575757575757576	0.625	0.8403361344537815	0.22320441988950268
s_aureus	S. aureus	0.002	49	14	4	7	0.9245283018867925	0.3333333333333333	0.7777777777777778	0.6363636363636364	0.8448275862068966	0.3011542497376706
s_aureus	S. aureus	0.003	48	13	5	8	0.9056603773584906	0.38095238095238093	0.7868852459016393	0.6153846153846154	0.8421052631578947	0.3238578680203047
s_aureus	S. aureus	0.004	48	11	5	10	0.9056603773584906	0.47619047619047616	0.8135593220338984	0.6666666666666666	0.8571428571428572	0.4178957718780728
s_aureus	S. aureus	0.005	47	11	6	10	0.8867924528301887	0.47619047619047616	0.8103448275862069	0.625	0.8468468468468469	0.39109390125847043
s_aureus	S. aureus	0.006	46	11	7	10	0.8679245283018868	0.47619047619047616	0.8070175438596491	0.5882352941176471	0.8363636363636363	0.36510962821734994
s_aureus	S. aureus	0.007	46	11	7	10	0.8679245283018868	0.47619047619047616	0.8070175438596491	0.5882352941176471	0.8363636363636363	0.36510962821734994
s_aureus	S. aureus	0.008	46	11	7	10	0.8679245283018868	0.47619047619047616	0.8070175438596491	0.5882352941176471	0.8363636363636363	0.36510962821734994
s_aureus	S. aureus	0.009000000000000001	46	11	7	10	0.8679245283018868	0.47619047619047616	0.8070175438596491	0.5882352941176471	0.8363636363636363	0.36510962821734994
s_aureus	S. aureus	0.01	46	11	7	10	0.8679245283018868	0.47619047619047616	0.8070175438596491	0.5882352941176471	0.8363636363636363	0.36510962821734994
s_aureus	S. aureus	0.011	45	11	8	10	0.8490566037735849	0.47619047619047616	0.8035714285714286	0.5555555555555556	0.8256880733944955	0.3399061032863848
s_aureus	S. aureus	0.012	45	11	8	10	0.8490566037735849	0.47619047619047616	0.8035714285714286	0.5555555555555556	0.8256880733944955	0.3399061032863848
s_aureus	S. aureus	0.013000000000000001	45	11	8	10	0.8490566037735849	0.47619047619047616	0.8035714285714286	0.5555555555555556	0.8256880733944955	0.3399061032863848
s_aureus	S. aureus	0.014	43	11	10	10	0.8113207547169812	0.47619047619047616	0.7962962962962963	0.5	0.8037383177570094	0.2917046490428442
s_aureus	S. aureus	0.015	43	11	10	10	0.8113207547169812	0.47619047619047616	0.7962962962962963	0.5	0.8037383177570094	0.2917046490428442
s_aureus	S. aureus	0.016	42	11	11	10	0.7924528301886793	0.47619047619047616	0.7924528301886793	0.47619047619047616	0.7924528301886793	0.2686433063791556
s_aureus	S. aureus	0.017	42	10	11	11	0.7924528301886793	0.5238095238095238	0.8076923076923077	0.5	0.7999999999999999	0.3117803365810451
s_aureus	S. aureus	0.018000000000000002	42	10	11	11	0.7924528301886793	0.5238095238095238	0.8076923076923077	0.5	0.7999999999999999	0.3117803365810451
s_aureus	S. aureus	0.019	42	10	11	11	0.7924528301886793	0.5238095238095238	0.8076923076923077	0.5	0.7999999999999999	0.3117803365810451
s_aureus	S. aureus	0.02	41	10	12	11	0.7735849056603774	0.5238095238095238	0.803921568627451	0.4782608695652174	0.7884615384615384	0.28908296943231443
s_aureus	S. aureus	0.021	41	10	12	11	0.7735849056603774	0.5238095238095238	0.803921568627451	0.4782608695652174	0.7884615384615384	0.28908296943231443
s_aureus	S. aureus	0.022	41	10	12	11	0.7735849056603774	0.5238095238095238	0.803921568627451	0.4782608695652174	0.7884615384615384	0.28908296943231443
s_aureus	S. aureus	0.023	41	10	12	11	0.7735849056603774	0.5238095238095238	0.803921568627451	0.4782608695652174	0.7884615384615384	0.28908296943231443
