group	label	threshold	n_samples	n_positive	n_negative	predictor	status	singular_fit	estimate	conf.low	conf.high	pvalue	qvalue	detail
s_aureus	S. aureus	0.004	68	48	20	normal_score_abundance	ok	FALSE	1.1535758753733145	0.698980426713177	1.608171324033452	4.929480704649354e-6	1.4788442113948063e-5	
p_aeruginosa	P. aeruginosa	0.098	68	17	51	normal_score_abundance	ok	FALSE	1.4221170585072291	0.9211888177277862	1.923045299286672	5.628375495981331e-7	2.532768973191599e-6	
serratia_marcescens	Serratia	0.073	68	4	64	normal_score_abundance	ok	FALSE	1.368026058740608	0.6924702610363066	2.0435818564449093	1.6427889524331661e-4	2.9570201143796994e-4	
proteus_mirabilis	Proteus	0.001	68	2	66	normal_score_abundance	ok_singular	TRUE	1.310978202471412	0.29635306391379523	2.325603341029029	0.012132354886433511	0.015598741996843087	Singular random-effects fit (boundary variance estimate).
gas	GAS	0.002	68	4	64	normal_score_abundance	ok_singular	TRUE	2.1139652699262244	1.488121074574329	2.7398094652781197	1.2744532366002036e-8	1.1470079129401832e-7	Singular random-effects fit (boundary variance estimate).
klebsiella_spp	Klebsiella spp.	0.097	68	5	63	normal_score_abundance	ok	FALSE	1.965645122809584	1.190924483128863	2.740365762490305	9.049957424089458e-6	2.036240420420128e-5	
e_coli	E. coli	0.078	68	1	67	normal_score_abundance	ok_singular	TRUE	2.373430695556449	0.960803664609656	3.7860577265032416	0.0014281762733504696	0.0021422644100257044	Singular random-effects fit (boundary variance estimate).
acinetobacter_baumannii	A. baumannii	0.07100000000000001	68	3	65	normal_score_abundance	ok	FALSE	0.7840085572100033	-0.10147685246663707	1.6694939668866438	0.08164087576603875	0.09184598523679359	
e_faecalis	E. faecalis	0.003	68	2	66	normal_score_abundance	ok	FALSE	0.18959895100990706	-0.8655677306917199	1.244765632711534	0.7207210712900431	0.7207210712900431	
