comparison_group	count	median	mean	reference_group	pvalue	median_difference	qvalue
Same patient, same batch date	21	0.5897245745499279	0.531767233371098	Different patient	7.90620333083728e-05	-0.2880161503076212	0.0001581240666167456
Same patient, different batch date	114	0.8660155430137086	0.7509013392083228	Different patient	0.11235521440036933	-0.011725181843840415	0.11235521440036933
Different patient	1695	0.8777407248575491	0.7646942119123473				
