model	n_pairs	aic	bic	logLik	singular
body_region_model	1830	-187.65421780992656	-121.50936285990096	105.82710890496328	FALSE
exact_location_model	1830	-184.1321815779812	-117.98732662795561	104.0660907889906	FALSE
