term	estimate	conf_low	conf_high	pvalue	qvalue
Intercept	0.8833264457476699	-1.3834453999780474	3.1500982914733875	0.44500545144344084	0.7537978476463173
C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.077515689002806	-2.072158162326897	4.227189540332509	0.5025318984308782	0.7537978476463173
C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.12094288618146204	-2.0610302004681538	2.3029159728310775	0.913490161510836	0.9696664266274952
C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.1148371248095867	-0.5839353810029464	2.81360963062212	0.1983569603822649	0.7537978476463173
C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.6764129352869044	-2.2877511915143485	5.640577062088157	0.4071876437826287	0.7537978476463173
C(chronicity_group, Treatment('unknown'))[T.chronic_like]	1.741495254001351	-1.6982297055818507	5.181220213584552	0.3210471060794726	0.7537978476463173
C(chronicity_group, Treatment('unknown'))[T.mixed]	0.20938368257057619	-1.0976409104648783	1.5164082756060306	0.7535333843872556	0.9688286370693286
C(culture_positive_label, Treatment('negative'))[T.positive]	-0.043979257055314386	-2.31075110278104	2.2227925886704107	0.9696664266274952	0.9696664266274952
years_since_first_sample	-2.5078600125438126	-3.8829258475178987	-1.1327941775697263	0.00035075888926947496	0.0031568300034252746
