outcome	model_name	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Staphylococcus aureus	species_mixedlm	Intercept	1.3328956033331785	-2.3943740325668346	5.060165239233191	0.48336808853331803	1.0	0.734400447699981
Serratia marcescens	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.6665659353903263	-2.5374248441036853	1.204292973323033	0.4849814277264025	0.9672131147540983	0.734400447699981
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.5639030600535708	-1.0763047546935973	2.204110874800739	0.5004161213213267	1.0	0.7367237341675088
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.5629171991213571	-2.303488567849725	1.177654169607011	0.52616511682844	1.0	0.7536959781596574
Cutibacterium acnes	species_mixedlm	log10_bacterial_reads	-0.15782541511057274	-0.7275933506769352	0.41194252045578966	0.5871924718843999	0.9508196721311475	0.8189789739440315
Pseudomonas aeruginosa	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.3820445331364243	-2.04916442741711	1.2850753611442611	0.6533205871006034	1.0	0.8878459260597944
Klebsiella pneumoniae	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.5883165860862725	-3.5876383132206904	2.411005141048145	0.7006473982496655	0.8032786885245902	0.9005283037757961
Pseudomonas aeruginosa	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.2614436479552676	-1.11337342157726	1.636260717487795	0.7093577613497554	1.0	0.9005283037757961
Serratia marcescens	species_mixedlm	Intercept	0.794899735573993	-3.6738268002808114	5.263626271428797	0.7273599244296662	0.9672131147540983	0.9005283037757961
Staphylococcus aureus	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.2524420290478849	-1.689476079231556	1.1845920211357863	0.7306173030633818	1.0	0.9005283037757961
Corynebacterium striatum	species_mixedlm	log10_bacterial_reads	-0.10563803235885616	-0.8266602428252409	0.6153841781075285	0.7739919352895271	0.9180327868852459	0.9073959790210584
Serratia marcescens	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.151652692914603	-1.3845033615298972	1.0811979757006913	0.8094816863707603	0.9672131147540983	0.9073959790210584
Serratia marcescens	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.20023577758555478	-1.9484333510027938	1.5479617958316843	0.82237513966076	0.9672131147540983	0.9073959790210584
Cutibacterium acnes	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.2929008331669141	-2.3075475918545645	2.8933492581883926	0.8252792836546133	0.9508196721311475	0.9073959790210584
Klebsiella pneumoniae	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.22901646825429672	-2.317496162339882	1.8594632258312886	0.8298267147266951	0.8032786885245902	0.9073959790210584
Pseudomonas aeruginosa	species_mixedlm	years_since_first_sample	-0.09740221492952973	-1.0365074924463928	0.8417030625873334	0.8389132636232427	1.0	0.9073959790210584
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	-0.28013937199006533	-3.666063571264605	3.1057848272844737	0.8711794833967121	1.0	0.9234502524005148
Staphylococcus aureus	species_mixedlm	years_since_first_sample	-0.027797702801844838	-0.9299411529238923	0.8743457473202028	0.9518432101895954	1.0	0.9850579858850719
Staphylococcus aureus	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.035780378562776015	-1.7041696372420716	1.6326088801165197	0.9664719861513913	1.0	0.9850579858850719
Klebsiella pneumoniae	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.025823105875210427	-2.7023712274348517	2.7540174391852723	0.9851988174451869	0.8032786885245902	0.9851988174451869
Pseudomonas aeruginosa	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.00848077446638372				1.0	
