species	spearman_rho	pvalue	bracken_prevalence	metaphlan_prevalence	qvalue
Pseudomonas aeruginosa	0.8909372185801875	1.523710299688447e-21	1.0	0.7166666666666667	7.618551498442235e-21
Staphylococcus aureus	0.8552048871197859	3.379802216447061e-18	1.0	0.6833333333333333	8.449505541117651e-18
Corynebacterium striatum	0.7489937548338085	5.889659269608903e-12	0.9166666666666666	0.4166666666666667	9.816098782681505e-12
Serratia marcescens	0.5317463434371918	1.2309475980510125e-05	0.9666666666666667	0.3	1.5386844975637655e-05
Cutibacterium acnes	0.4201502833304166	0.0008313730329724934	0.95	0.1	0.0008313730329724934
