effect	component	term	estimate	std.error	statistic	p.value	model_name	analysis_type	adjustment_family	conf.low	conf.high	odds_ratio	conf.low.or	conf.high.or	qvalue	selected_model	posthoc_family	term_label	posthoc_qvalue
fixed	cond	chronicity_groupacute_like	1.0115911434173872	0.4261403747605584	2.3738448720935783	0.01760394475366938	patient_plus_batch	full_model	full_model_terms	0.17635600888669278	1.8468262779480815	2.7499731374131957	1.1928626527715354	6.339667218957322	0.11411915478782685	patient_plus_batch	chronicity_terms	Chronicity: acute-like	0.05281183426100814
fixed	cond	body_regionupper_extremity	0.8669342966515505	0.39587424624962064	2.1899234538861627	0.02852978869695671	patient_plus_batch	full_model	full_model_terms	0.09102077400229414	1.642847819300807	2.3796044982095736	1.0952917586156317	5.169871427733778	0.11411915478782685	patient_plus_batch	body_region_terms	Body site: upper extremity	0.0676031373567992
fixed	cond	body_regiontrunk_perineum	0.7974447405239935	0.39792410339591183	2.0040121563849613	0.04506875823786613	patient_plus_batch	full_model	full_model_terms	0.017513497868006378	1.5773759831799805	2.2198613534300238	1.017667758403134	4.842233025230724	0.12018335530097635	patient_plus_batch	body_region_terms	Body site: trunk / perineum	0.0676031373567992
fixed	cond	years_since_first_sample	0.24805572571975962	0.22828076577875026	1.0866256071708436	0.27720230340690577	patient_plus_batch	full_model	full_model_terms	-0.19937457520659088	0.6954860266461101	1.2815313444608172	0.8192429677492645	2.004683166640492	0.5544046068138115	patient_plus_batch	elapsed_time_term	Per year since first patient sample	0.27720230340690577
fixed	cond	culture_positivepositive	0.3371073889795044	0.5239431407704955	0.6434045276053506	0.5199616463510388	patient_plus_batch	full_model	full_model_terms	-0.6898211669306669	1.3640359448896757	1.4008894957543678	0.5016657754749878	3.9119498982301484	0.6813824049785584	patient_plus_batch	culture_positive_term	Culture positive: yes	0.5199616463510388
fixed	cond	chronicity_groupchronic_like	0.2539753941869902	0.4388704314331353	0.5787024506472931	0.5627899621286554	patient_plus_batch	full_model	full_model_terms	-0.606210651421955	1.1141614397959354	1.2891400835377098	0.5454137208814861	3.047012004570979	0.6813824049785584	patient_plus_batch	chronicity_terms	Chronicity: chronic-like	0.6936576205114786
fixed	cond	body_regionhead_neck	0.23988422561461442	0.4527320789128244	0.5298591303507018	0.5962096043562386	patient_plus_batch	full_model	full_model_terms	-0.6474706490545215	1.1272391002837503	1.2711019807517518	0.5233678850731426	3.0871214905462288	0.6813824049785584	patient_plus_batch	body_region_terms	Body site: head / neck	0.5962096043562386
fixed	cond	chronicity_groupmixed	0.30512222860494437	0.7746258287767137	0.39389627516912556	0.6936576205114786	patient_plus_batch	full_model	full_model_terms	-1.2131443957974144	1.8233888530073032	1.3567908315220618	0.29726110178552273	6.192809450832706	0.6936576205114786	patient_plus_batch	chronicity_terms	Chronicity: mixed	0.6936576205114786
NA	NA	acute_like_binaryacute_like	0.8344733557916015	0.32063077655367467	NA	0.009252008405424537	acute_like_contrast	targeted_contrast	planned_contrast_terms	0.20603703374639915	1.4629096778368038	2.303600550885783	1.2287987101724829	4.318506728654048	0.018504016810849074	NA	planned_contrast_terms	Planned contrast: acute-like vs all other chronicity groups	0.018504016810849074
NA	NA	upper_extremity_binaryupper_extremity	0.5274443971457514	0.3592635861511258	NA	0.142069860112689	upper_extremity_contrast	targeted_contrast	planned_contrast_terms	-0.17671223171045514	1.2316010260019579	1.6945960555918196	0.8380209056704474	3.42671140086884	0.142069860112689	NA	planned_contrast_terms	Planned contrast: upper extremity vs all other body regions	0.142069860112689
