sample_i	sample_j	distance	comparison_group	same_patient	same_batch
01F	02J	0.9026236591899736	Different patient	False	False
01F	02K	0.976962932021905	Different patient	False	False
01F	02L	0.5823757067724186	Different patient	False	False
01F	02M	0.6990410310964166	Different patient	False	False
01F	02N	0.6790025038054952	Different patient	False	False
01F	02O	0.95660627319259	Different patient	False	False
01F	03A	0.6919619099814452	Different patient	False	False
01F	03B	0.9561948744083661	Different patient	False	False
01F	03C	0.9573829611801166	Different patient	False	False
01F	03D	0.9560165663108734	Different patient	False	False
01F	03E	0.8454698990042336	Different patient	False	False
01F	03F	0.9401482321972381	Different patient	False	False
01F	03I	0.9615451584464727	Different patient	False	False
01F	04B	0.44826591612398287	Different patient	False	False
01F	04C	0.4871169392686645	Different patient	False	False
01F	05C	0.641956558239605	Different patient	False	False
01F	05E	0.5975591229675938	Different patient	False	False
01F	05F	0.6500684736308974	Different patient	False	False
01F	05G	0.503937417216535	Different patient	False	False
01F	06A	0.41323519186484414	Different patient	False	False
01F	07A	0.4058740515855318	Different patient	False	False
01F	07B	0.6974405463635176	Different patient	False	False
01F	07C	0.921421503299892	Different patient	False	False
01F	07D	0.4119439644324846	Different patient	False	False
01F	08B	0.3825938939370965	Different patient	False	False
01F	09A	0.9086048347641482	Different patient	False	False
01F	10A	0.9027205672126282	Different patient	False	False
01F	10B	0.9008872974133435	Different patient	False	False
01F	10C	0.9494836554425287	Different patient	False	False
01F	11A	0.9370896537840759	Different patient	False	False
01F	11B	0.9306307544917799	Different patient	False	False
01F	12A	0.9575918698752414	Different patient	False	False
01F	12B	0.9568501378623941	Different patient	False	False
01F	13B	0.9437007569709115	Different patient	False	False
01F	13C	0.9490350414402332	Different patient	False	True
01F	13D	0.9443947012053815	Different patient	False	True
01F	14A	0.9583271546537776	Different patient	False	False
01F	15A	0.9844733491462704	Different patient	False	False
01F	16A	0.4160437724648304	Different patient	False	False
01F	16C	0.9321735902956543	Different patient	False	False
01F	16D	0.9402916523522695	Different patient	False	False
01F	16E	0.6024898792883118	Different patient	False	False
01F	16F	0.4077568350657319	Different patient	False	False
01F	16G	0.4056925781380039	Different patient	False	False
01F	16H	0.8782790841684236	Different patient	False	False
01F	17B	0.3811821486824494	Different patient	False	False
01F	17C	0.41587046483712115	Different patient	False	False
01F	17G	0.9005437641235317	Different patient	False	True
01F	17I	0.9251958964228845	Different patient	False	True
01F	20B	0.6442251103979476	Different patient	False	False
01F	20C	0.41277593647032085	Different patient	False	False
01G	02A	0.2983246097997252	Different patient	False	False
01G	02B	0.2978915033774522	Different patient	False	False
01G	02C	0.9934878484899584	Different patient	False	False
01G	02H	0.9655980365623011	Different patient	False	False
01G	02I	0.833628538078785	Different patient	False	False
01G	02J	0.902155183526889	Different patient	False	False
01G	02K	0.9955636506485455	Different patient	False	False
01G	02L	0.6977346252983836	Different patient	False	False
01G	02M	0.7364619528059659	Different patient	False	False
01G	02N	0.7168539578437093	Different patient	False	False
01G	02O	0.996107790600498	Different patient	False	False
01G	03A	0.7311106244558282	Different patient	False	False
01G	03B	0.9957963670413115	Different patient	False	False
01G	03C	0.9961058171301529	Different patient	False	False
01G	03D	0.9948078131434555	Different patient	False	False
01G	03E	0.8822971366290349	Different patient	False	False
01G	03F	0.9781707327966146	Different patient	False	False
01G	03I	0.9620956544822473	Different patient	False	False
01G	04B	0.48604358978908974	Different patient	False	False
01G	04C	0.5236592832360815	Different patient	False	False
01G	05C	0.6793763522479831	Different patient	False	False
01G	05E	0.6354388279439478	Different patient	False	False
01G	05F	0.6722769040615796	Different patient	False	False
01G	05G	0.541247402775757	Different patient	False	False
01G	06A	0.2996109443035858	Different patient	False	False
01G	07A	0.4166054061294548	Different patient	False	False
01G	07B	0.7004170092541235	Different patient	False	False
01G	07C	0.9606280568878645	Different patient	False	False
01G	07D	0.3538562487837471	Different patient	False	False
01G	08B	0.3758612677952231	Different patient	False	False
01G	09A	0.9475224780417382	Different patient	False	False
01G	10A	0.9416065896463525	Different patient	False	False
01G	10B	0.938356116832325	Different patient	False	False
01G	10C	0.989298658512611	Different patient	False	False
01G	11A	0.9733650639014149	Different patient	False	False
01G	11B	0.9685704193180297	Different patient	False	False
01G	12A	0.9967128550274066	Different patient	False	False
01G	12B	0.9957727449637569	Different patient	False	False
01G	13B	0.9433286403940541	Different patient	False	False
01G	13C	0.9871156442153994	Different patient	False	True
01G	13D	0.980869993337562	Different patient	False	True
01G	14A	0.9973461876875853	Different patient	False	False
01G	15A	0.9844530138863313	Different patient	False	False
01G	16A	0.30175041863895563	Different patient	False	False
01G	16C	0.9590990354567874	Different patient	False	False
01G	16D	0.9785739180237513	Different patient	False	False
01G	16E	0.6389340216476059	Different patient	False	False
01G	16F	0.3016108032899828	Different patient	False	False
01G	16G	0.30389700123008834	Different patient	False	False
01G	16H	0.8779643114684842	Different patient	False	False
01G	17B	0.41909491266561927	Different patient	False	False
01G	17C	0.30148379167368755	Different patient	False	False
01G	17G	0.9382306930074326	Different patient	False	True
01G	17I	0.9407406694097493	Different patient	False	True
01G	20B	0.682898660120661	Different patient	False	False
01G	20C	0.3003226969752292	Different patient	False	False
02A	02B	0.12890090711854588	Same patient, same batch date	True	True
02A	02C	0.8735753796230094	Same patient, same batch date	True	True
02A	02H	0.825402497558333	Same patient, different batch date	True	False
02A	02I	0.7866467252527882	Same patient, different batch date	True	False
02A	02J	0.8450074328582018	Same patient, different batch date	True	False
02A	02K	0.9682033877509145	Same patient, different batch date	True	False
02A	02L	0.9627097661144175	Same patient, different batch date	True	False
02A	02M	0.687642743023228	Same patient, different batch date	True	False
02A	02N	0.6966361409731279	Same patient, different batch date	True	False
02A	02O	0.9964276826161242	Same patient, different batch date	True	False
02A	03A	0.6771055499209033	Different patient	False	False
02A	03B	0.9690315919303215	Different patient	False	False
02A	03C	0.8864153665147044	Different patient	False	False
02A	03D	0.9646035972586151	Different patient	False	False
02A	03E	0.8135733847257848	Different patient	False	False
02A	03F	0.9519578838718401	Different patient	False	False
02A	03I	0.931210159812605	Different patient	False	False
02A	04B	0.4435698892953242	Different patient	False	False
02A	04C	0.480619869087982	Different patient	False	False
02A	05C	0.6406327030871631	Different patient	False	False
02A	05E	0.6153212291996224	Different patient	False	False
02A	05F	0.653272973287486	Different patient	False	False
02A	05G	0.5267884976106959	Different patient	False	False
02A	06A	0.17024461667333177	Different patient	False	False
02A	07A	0.4039087019084744	Different patient	False	False
02A	07B	0.7007620247741985	Different patient	False	False
02A	07C	0.9175389578107981	Different patient	False	False
02A	07D	0.33774157333158233	Different patient	False	False
02A	08B	0.33358272836428526	Different patient	False	False
02A	09A	0.9329937558218298	Different patient	False	False
02A	10A	0.8411293415696878	Different patient	False	False
02A	10B	0.9293061620263336	Different patient	False	False
02A	10C	0.9790861456408713	Different patient	False	False
02A	11A	0.9684029772427862	Different patient	False	False
02A	11B	0.9588783218581793	Different patient	False	False
02A	12A	0.998130777151914	Different patient	False	False
02A	12B	0.9956101342202576	Different patient	False	False
02A	13B	0.9972759563793114	Different patient	False	False
02A	13C	0.9854707749679337	Different patient	False	False
02A	13D	0.9742967207956241	Different patient	False	False
02A	14A	0.9988427668950511	Different patient	False	False
02A	15A	0.9844959532886609	Different patient	False	False
02A	16A	0.17209833475043	Different patient	False	False
02A	16C	0.9162211592443635	Different patient	False	False
02A	16D	0.8858800347864111	Different patient	False	False
02A	16E	0.54964534700803	Different patient	False	False
02A	16F	0.16303989617549314	Different patient	False	False
02A	16G	0.07951154930485416	Different patient	False	False
02A	16H	0.8340873480254343	Different patient	False	False
02A	17B	0.39388308052502546	Different patient	False	False
02A	17C	0.16757878914156574	Different patient	False	False
02A	17G	0.8248514196484693	Different patient	False	False
02A	17I	0.9273978086495557	Different patient	False	False
02A	20B	0.6840685216299439	Different patient	False	False
02A	20C	0.17231506544787514	Different patient	False	False
02B	02C	0.9665915496853844	Same patient, same batch date	True	True
02B	02H	0.9357602709110964	Same patient, different batch date	True	False
02B	02I	0.8223635466170137	Same patient, different batch date	True	False
02B	02J	0.8641799941906588	Same patient, different batch date	True	False
02B	02K	0.9833108655133028	Same patient, different batch date	True	False
