comparison_group	count	median	mean	reference_group	pvalue	median_difference	qvalue	method
Same patient, same batch date	21	0.5897245745499279	0.531767233371098	Different patient	0.00010133484782359994	-0.2859138004877936	0.00020266969564719989	Bracken
Same patient, different batch date	108	0.8492954394442563	0.7413304092770432	Different patient	0.08343786063389991	-0.026342935593465122	0.08343786063389991	Bracken
Different patient	1641	0.8756383750377215	0.7604747447219941					Bracken
Same patient, same batch date	21	0.5796507536845873	0.4879053784351409	Different patient	0.0001861723179570985	-0.3778235378415118	0.000372344635914197	MetaPhlAn
Same patient, different batch date	108	0.8313512912345941	0.723398659339305	Different patient	0.0053871630142344916	-0.12612300029150503	0.0053871630142344916	MetaPhlAn
Different patient	1641	0.9574742915260991	0.7393697522653166					MetaPhlAn
