outcome	model_name	term	estimate	conf_low	conf_high	pvalue	qvalue
host_logit	host_base	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.3591676004963082	-0.1205981402801728	2.8389333412727895	0.07182423625703485	0.35912118128517423
host_logit	host_base	Intercept	1.2101271828035833	-1.294566377117262	3.7148207427244286	0.34366708007149704	0.8741448109350641
host_logit	host_base	C(culture_positive_label, Treatment('negative'))[T.positive]	0.7729493576995302	-1.4221582194187357	2.968056934817796	0.4901000321377329	0.8741448109350641
host_logit	host_base	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.6968073753618481	-1.3647594588546732	2.758374209578369	0.5076727963207543	0.8741448109350641
host_logit	host_base	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.27119551700726036	-1.160455638923503	1.7028466729380238	0.7104341921986744	0.8741448109350641
host_logit	host_base	years_since_first_sample	0.2364924361790866	-1.051063062553372	1.524047934911545	0.7188490630152806	0.8741448109350641
host_logit	host_extended	C(chronicity_group, Treatment('unknown'))[T.acute_like]	2.320591990376104	0.24503155998913284	4.396152420763075	0.028426565851166555	0.35912118128517423
host_logit	host_extended	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.3377995744556708	-0.08121459959049337	2.756813748501835	0.0646328521475017	0.35912118128517423
host_logit	host_extended	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.6962959755935566	-0.8009122800559155	2.1935042312430286	0.3620285701406851	0.8741448109350641
host_logit	host_extended	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.750808650310378	-1.2070269892600787	2.708644289880835	0.45227669645634605	0.8741448109350641
host_logit	host_extended	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.6886163391138158	-1.4457444844012932	2.822977162628925	0.5271581501647837	0.8741448109350641
host_logit	host_extended	Intercept	0.3882216149573286	-2.1547765500314924	2.93121977994615	0.7647768487844793	0.8741448109350641
host_logit	host_extended	years_since_first_sample	0.1856644892441645	-1.1170705820834455	1.4883995605717746	0.779989980585797	0.8741448109350641
host_logit	host_extended	C(culture_positive_label, Treatment('negative'))[T.positive]	0.2589369434613015	-1.9204949437194376	2.4383688306420406	0.8158684902060599	0.8741448109350641
host_logit	host_extended	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.013973274661125606	-3.8300117415792347	3.8579582909014856	0.9943153859006285	0.9943153859006285
