outcome	term	estimate_mixed	pvalue_mixed	qvalue_mixed	model_family_mixed	estimate_cluster	pvalue_cluster	qvalue_cluster	model_family_cluster	same_direction	estimate_shift
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.4419361334061958	0.16807349878611566	0.504220496358347	mixedlm	0.9511403581382724	0.582730552655609	0.8864238625232047	cluster_ols	True	0.4907957752679234
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.1938958425951018	0.14260370693952834	0.4623016205016306	mixedlm	0.0295525526952684	0.9817004040289592	0.9817004040289592	cluster_ols	False	-1.2234483952903703
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.6210347338928514	0.5129561286428623	0.8231100126918086	mixedlm	-0.4218001604155131	0.7349916060776993	0.9079308075077462	cluster_ols	True	-0.19923457347733825
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-2.646083304154648	0.014262527332111306	0.07606681243792697	mixedlm	-3.7105371964712193	0.0053032136906028	0.0318192821436172	cluster_ols	True	1.0644538923165712
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.36853537204347164	0.6896234967460628	0.8558975035283047	mixedlm	-1.4657156532096174	0.2495821666692314	0.6551531875067325	cluster_ols	False	1.834251025253089
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.6873196200061937	0.24263056838877783	0.5914465854220003	mixedlm	-1.5924353252837005	0.4639911784941204	0.8629227696488453	cluster_ols	True	-0.09488429472249327
Corynebacterium striatum	Intercept	6.616857607739025	0.00958754000726229	0.06574313147836998	mixedlm					False	
Corynebacterium striatum	log10_bacterial_reads	-0.005750617195749933	0.9878110548072566	0.9878110548072566	mixedlm	-0.2558713784680583	0.6418987280169719	0.8866985412390894	cluster_ols	True	0.25012076127230837
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.967340477089599	0.012580466451116636	0.07548279870669981	mixedlm	2.1462460893472013	0.003292103258401	0.027653667370569	cluster_ols	True	-0.17890561225760226
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.3540491733093942	0.6084865180221417	0.8231100126918086	mixedlm	-0.6886614250315487	0.3390308771968794	0.7360735620139698	cluster_ols	True	0.3346122517221545
