outcome	model_name	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Pseudomonas aeruginosa	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.3973476271690303	-1.1282634726994125	1.9229587270374733	0.6097183977670388	1.0	0.8231100126918086
Pseudomonas aeruginosa	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.45522253584299915	-2.230692298953501	1.3202472272675028	0.6152975454581283	1.0	0.8231100126918086
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.46112503999858523	-1.3477744577603157	2.2700245377574864	0.6173325095188564	1.0	0.8231100126918086
Corynebacterium striatum	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.36853537204347164	-1.4401212083943684	2.1771919524813117	0.6896234967460628	0.9180327868852459	0.8558975035283047
Pseudomonas aeruginosa	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.274393774570805	-1.0953542372512588	1.6441417863928687	0.6945939899101996	1.0	0.8558975035283047
Klebsiella pneumoniae	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.4531751260719094	-2.7613386483318876	1.8549883961880689	0.7003773804757709	0.8032786885245902	0.8558975035283047
Staphylococcus aureus	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.2645980105940788	-1.6757708803913995	1.1465748592032419	0.7132479196069207	1.0	0.8558975035283047
Cutibacterium acnes	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.3942100844191912	-2.089414901516372	2.8778350703547546	0.755730161235352	0.9508196721311475	0.8847572619340707
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.24389422724027318	-1.9672594172606876	1.4794709627801415	0.781489733701134	1.0	0.8914514100881419
Serratia marcescens	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.27518678500318383	-2.3889008848640088	1.8385273148576409	0.7985918882039604	0.9672131147540983	0.8914514100881419
Cutibacterium acnes	species_mixedlm	log10_bacterial_reads	-0.04919835193599184	-0.6666027271319812	0.5682060232599975	0.8758901418839963	0.9508196721311475	0.9555165184189051
Staphylococcus aureus	species_mixedlm	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.15605172072941795	-2.8217033534191485	3.1338067948779846	0.9181903304681154	1.0	0.9582276779037079
Staphylococcus aureus	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.0877812011123582	-1.7650964523289003	1.589534050104184	0.9183015246577201	1.0	0.9582276779037079
Serratia marcescens	species_mixedlm	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.014004486525031307	-1.7825604472381054	1.810569420288168	0.9878102295207297	0.9672131147540983	0.9878110548072566
Corynebacterium striatum	species_mixedlm	log10_bacterial_reads	-0.005750617195749933	-0.7435182426415039	0.7320170082500039	0.9878110548072566	0.9180327868852459	0.9878110548072566
