X_features	Y_features	association	p-values	q-values
host_removed_fraction	Cutibacterium acnes	0.7102966851119558	1.444540622899796e-10	9.801208126375116e-07
host_removed_fraction	Cutibacterium granulosum	0.24019511301397184	0.06224136888591778	0.2498862058526344
host_removed_fraction	Cutibacterium modestum	0.15883140130537526	0.22147011508180137	0.5503295113825388
host_removed_fraction	Microlunatus sagamiharensis	0.05242899035337054	0.6882078256543902	0.8139254134678469
host_removed_fraction	Friedmanniella luteola	-0.1791523405484417	0.1671304036872884	0.4738737104129761
host_removed_fraction	Micrococcus luteus	-0.07025956354534056	0.5905369626515595	0.7751124387292581
host_removed_fraction	Kocuria rosea	0.10577758414244237	0.4171716462339815	0.7065675535940001
host_removed_fraction	Kocuria palustris	0.08816997800459263	0.4992304685030493	0.7464585039765406
host_removed_fraction	Kocuria rhizophila	0.17463872874402195	0.17826216408423246	0.49217041029970177
host_removed_fraction	Rothia mucilaginosa	-0.03964101035094032	0.7616457401078786	0.8502316648533138
host_removed_fraction	Brevibacterium luteolum	-0.3530671628084322	0.005254657703375325	0.04854249983448998
host_removed_fraction	Brevibacterium sp. CS2	-0.381965085039484	0.0023846570150393635	0.028513342478435705
host_removed_fraction	Dermacoccus nishinomiyaensis	0.32957219003349253	0.009495117304371076	0.07076781866774727
host_removed_fraction	Corynebacterium bovis	-0.14140579315719817	0.2770191705178273	0.6094601400659723
host_removed_fraction	Corynebacterium kroppenstedtii	0.06281252955386293	0.6305820206576679	0.7870198468403994
host_removed_fraction	Corynebacterium tuberculostearicum	0.4400937976073544	0.00038654457204840534	0.009122451900342367
host_removed_fraction	Corynebacterium accolens	0.07494449902508896	0.5659446743048955	0.7716135065123512
host_removed_fraction	Corynebacterium kefirresidentii	0.2277499482717032	0.07751934847549298	0.29107292717555056
host_removed_fraction	Corynebacterium propinquum	-0.31614198802267335	0.013061572098703247	0.08688506538206033
host_removed_fraction	Corynebacterium jeikeium	0.06728278089443138	0.6064073980724742	0.7783043408915721
host_removed_fraction	Corynebacterium haemomassiliense	0.24530266597101807	0.05671966902508374	0.23588290182972305
host_removed_fraction	Corynebacterium afermentans	0.07456856279303144	0.5679002492277194	0.7735802431258937
host_removed_fraction	Corynebacterium striatum	0.37016663553316353	0.0033208582219104886	0.03584640789742402
host_removed_fraction	Corynebacterium ureicelerivorans	0.1485364987264857	0.25326365117031713	0.5860824942669174
host_removed_fraction	Corynebacterium amycolatum	0.11515916965645263	0.3768257888563903	0.686994365622351
host_removed_fraction	Corynebacterium pseudodiphtheriticum	-0.2949676387849403	0.02101493969566751	0.12196946440542512
host_removed_fraction	Corynebacterium simulans	0.2782607674307246	0.02990028290520796	0.15213604762792352
host_removed_fraction	Gordonia sp. w5E2	0.5327484567098847	9.881907033213919e-06	0.0008658243328638947
host_removed_fraction	Gordonia bronchialis	0.4370811185460101	0.0004282644342433356	0.00988358566782664
host_removed_fraction	Gordonia otitidis	0.2458173839512002	0.056185974711309976	0.23459805440999273
host_removed_fraction	Lawsonella clevelandensis	0.17451622754097984	0.17857159865139796	0.4926238247000346
host_removed_fraction	Blastococcus brunescens	-0.04157384790039267	0.7503921509222031	0.8426697689518616
host_removed_fraction	Modestobacter italicus	0.1570651773307904	0.22671660678812747	0.557427770944619
host_removed_fraction	Nakamurella multipartita	-0.07341182114824259	0.5739371568753895	0.7744520270461066
host_removed_fraction	Staphylococcus aureus	0.17414066631411948	0.17952268189436815	0.49464422199118285
host_removed_fraction	Staphylococcus epidermidis	0.2533825200338104	0.04880133146787459	0.21225450898046735
host_removed_fraction	Staphylococcus hominis	0.30374186977396916	0.017324666611937135	0.1057560620440787
host_removed_fraction	Staphylococcus saprophyticus	-0.1971508905957431	0.12777545682107674	0.4064548169017474
host_removed_fraction	Staphylococcus caprae	0.02299761933419168	0.8603532774352206	0.9163326249741733
host_removed_fraction	Staphylococcus capitis	0.11845682226016567	0.36322115248345943	0.6800373950331877
host_removed_fraction	Staphylococcus croceilyticus	0.05608358099053289	0.6677026510318519	0.8045941550505632
host_removed_fraction	Staphylococcus schweitzeri	-0.08594020124784826	0.5101857587895202	0.7503356595424469
host_removed_fraction	Staphylococcus xylosus	-0.15239525192882908	0.24100246530482228	0.5735264234449087
host_removed_fraction	Clostridium botulinum	0.2975037607764527	0.019885412275439048	0.1172729441884867
host_removed_fraction	Pseudomonas sp. CCI1.1	0.03546789117926295	0.7861082777954518	0.8664554363494469
host_removed_fraction	Pseudomonas sp. FDAARGOS_380	-0.021734924810434462	0.867950052717987	0.9210261350784394
host_removed_fraction	Pseudomonas sp. FJ2-5-13	-0.03129194214912782	0.8107951119041522	0.8819630996825126
host_removed_fraction	Pseudomonas sp. CFSAN084952	-0.011087549580341177	0.9324143464394385	0.9588562703101567
host_removed_fraction	Pseudomonas sp. FP215	-0.13387853452205747	0.30365231728640013	0.6326592652879287
